id,baseline,decision,reviewer,reviewed_on,notes
mobile-stepper-form,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
mobile-empty-state,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
inline-validation,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
mega-menu,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
command-palette,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
split-pane,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
resizable-sidebar,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
data-table,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
master-detail,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
kanban-board,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
breadcrumb,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
context-menu,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
tooltip,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
popover,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
modal-dialog,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
toast-stack,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
inline-edit,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
drag-reorder,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
virtual-list,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
sticky-table-header,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
dashboard-kpi-cards,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
filter-sidebar,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
pagination,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
desktop-wizard,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
tabs,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
accordion,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
carousel,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
date-picker,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
file-dropzone,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
progress-stepper,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
notification-center,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
