id,baseline,decision,reviewer,reviewed_on,notes
mobile-stepper-form,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
mobile-empty-state,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
inline-validation,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
mega-menu,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
command-palette,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
split-pane,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
resizable-sidebar,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
data-table,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
master-detail,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
kanban-board,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
breadcrumb,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
context-menu,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
tooltip,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
popover,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
modal-dialog,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
toast-stack,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
inline-edit,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
drag-reorder,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
virtual-list,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
sticky-table-header,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
dashboard-kpi-cards,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
filter-sidebar,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
pagination,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
desktop-wizard,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
tabs,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
accordion,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
carousel,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
date-picker,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
file-dropzone,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
progress-stepper,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
notification-center,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
sticky-section-reveal,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
scroll-snap-carousel,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
scroll-zoom-hero,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
parallax-depth-cards,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
scroll-linked-progress-sections,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
typewriter-caret,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
word-rotate-swap,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
gradient-text-sweep,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
glitch-text-flicker,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
marquee-text-loop,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
svg-wave-divider,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
gradient-morph-blob,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
dot-grid-pulse,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
floating-particles-field,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
video-scrim-hero,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
spotlight-follow,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
hover-ripple-feedback,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
pointer-glow-border,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
drag-affordance-cursor,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
lens-zoom-hover,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
flip-card-reveal,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
accordion-morph-expand,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
list-reorder-flip,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
page-turn-transition,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
hero-expand-navigation,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
toggle-switch-morph,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
confetti-success-burst,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
shake-validation-error,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
progress-ring-completion,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
long-press-context-reveal,catalog-addition,accepted,codex-main+wp4-expansion,2026-07-18,"kind=catalog-addition; new WP4 visual effect guide generated and visually accepted"
